order_id,branch,region,order_date,dispatch_date,delivery_date,delivery_status,order_value,shipping_cost,items_count
NOR-1000,North_A,North,2025-10-03,2025-10-03,2025-10-05,Delivered,384.61,27.68,4
NOR-1001,North_A,North,2025-10-01,2025-10-02,2025-10-05,Delivered,4698.91,94.2,4
NOR-1002,North_A,North,2025-10-02,2025-10-04,2025-10-06,Delivered,1527.02,86.6,2
NOR-1003,North_A,North,2025-10-01,2025-10-03,2025-10-05,Delivered,4917.83,236.08,5
NOR-1004,North_A,North,2025-10-05,2025-10-05,2025-10-08,Delivered,3452.74,160.24,4
NOR-1005,North_A,North,2025-10-04,2025-10-07,2025-10-10,Delivered,2648.33,139.84,5
NOR-1006,North_A,North,2025-10-18,2025-10-20,2025-10-25,Returned,533.61,16.95,1
NOR-1007,North_A,North,2025-10-17,2025-10-19,2025-10-24,Delivered,2975.08,231.8,4
NOR-1008,North_A,North,2025-10-04,2025-10-06,2025-10-09,Delivered,4935.75,327.41,4
NOR-1009,North_A,North,2025-10-02,2025-10-05,2025-10-11,Delivered,4638.87,273.99,4
NOR-1010,North_A,North,2025-10-10,2025-10-10,2025-10-14,Delivered,1623.81,64.16,3
NOR-1011,North_A,North,2025-10-05,2025-10-07,2025-10-09,Delivered,4861.39,344.84,5
NOR-1012,North_A,North,2025-10-05,2025-10-06,2025-10-12,Delivered,2194.95,47.25,5
NOR-1013,North_A,North,2025-10-02,2025-10-03,2025-10-07,Delivered,3508.03,99.49,5
NOR-1014,North_A,North,2025-10-04,2025-10-09,2025-10-17,Delivered,3159.33,119.23,5
NOR-1015,North_A,North,2025-10-11,2025-10-11,2025-10-14,Delivered,2742.78,187.73,4
NOR-1016,North_A,North,2025-10-03,2025-10-04,2025-10-07,Delivered,102.55,4.22,3
NOR-1017,North_A,North,2025-10-01,2025-10-01,2025-10-03,Delivered,687.34,27.67,3
NOR-1018,North_A,North,2025-10-02,2025-10-07,2025-10-14,Delivered,4861.73,377.98,2
NOR-1019,North_A,North,2025-10-07,2025-10-08,2025-10-10,Delivered,3208.32,195.2,5
NOR-1020,North_A,North,2025-10-04,2025-10-08,2025-10-15,Delivered,3668.26,154.31,4
NOR-1021,North_A,North,2025-10-21,2025-10-25,2025-10-30,Delivered,838.52,42.34,5
NOR-1022,North_A,North,2025-10-10,2025-10-10,2025-10-10,Delivered,4066.56,166.4,4
NOR-1023,North_A,North,2025-10-15,2025-10-17,2025-10-19,Delivered,3410.88,218.68,2
NOR-1024,North_A,North,2025-10-13,2025-10-14,2025-10-18,Delivered,4104.39,218.81,4
NOR-1025,North_A,North,2025-10-02,2025-10-06,2025-10-12,Delivered,1466.47,90.95,3
NOR-1026,North_A,North,2025-10-10,2025-10-13,2025-10-17,Delivered,4684.61,314.43,4
NOR-1027,North_A,North,2025-10-05,2025-10-08,2025-10-12,In Transit,1491.21,57.15,2
NOR-1028,North_A,North,2025-10-06,2025-10-06,2025-10-09,Delivered,1262.52,49.9,4
NOR-1029,North_A,North,2025-10-03,2025-10-06,2025-10-12,Delivered,2758.45,139.38,5
NOR-1030,North_A,North,2025-10-04,2025-10-05,2025-10-09,Delivered,3261.01,196.1,1
NOR-1031,North_A,North,2025-10-02,2025-10-02,2025-10-05,Delivered,3262.81,99.93,4
NOR-1032,North_A,North,2025-10-04,2025-10-07,2025-10-11,Delivered,4770.05,190.06,5
NOR-1033,North_A,North,2025-10-05,2025-10-05,2025-10-05,Delivered,2477.87,104.97,2
NOR-1034,North_A,North,2025-10-14,2025-10-17,2025-10-25,Delivered,3113.54,247.23,2
NOR-1035,North_A,North,2025-10-02,2025-10-02,2025-10-02,Delivered,769.44,48.12,5
NOR-1036,North_A,North,2025-10-02,2025-10-02,2025-10-02,Delivered,499.81,10.15,4
NOR-1037,North_A,North,2025-10-09,2025-10-13,2025-10-20,Delivered,4461.03,179.69,4
NOR-1038,North_A,North,2025-10-05,2025-10-10,2025-10-15,Delivered,859.7,67.84,2
NOR-1039,North_A,North,2025-10-10,2025-10-12,2025-10-14,Delivered,4156.56,150.85,4
NOR-1040,North_A,North,2025-10-05,2025-10-11,2025-10-22,Delivered,3657.85,287.33,4
NOR-1041,North_A,North,2025-10-07,2025-10-08,2025-10-10,Delivered,3745.81,131.3,2
NOR-1042,North_A,North,2025-10-17,2025-10-20,2025-10-26,Delivered,949.14,27.89,2
NOR-1043,North_A,North,2025-10-02,2025-10-04,2025-10-09,Delivered,3319.85,153.18,5
NOR-1044,North_A,North,2025-10-03,2025-10-03,2025-10-03,Delivered,170.53,4.6,5
NOR-1045,North_A,North,2025-10-01,2025-10-04,2025-10-10,Delivered,2376.9,140.2,2
NOR-1046,North_A,North,2025-10-05,2025-10-06,2025-10-09,Delivered,3166.71,158.93,1
NOR-1047,North_A,North,2025-10-04,2025-10-07,2025-10-15,Returned,4726.83,340.48,3
NOR-1048,North_A,North,2025-10-09,2025-10-12,2025-10-20,Delivered,4074.9,282.14,4
NOR-1049,North_A,North,2025-10-03,2025-10-05,2025-10-07,Delivered,1662.98,117.56,2
NOR-1050,North_A,North,2025-10-03,2025-10-04,2025-10-05,Delivered,1806.85,137.68,4
NOR-1051,North_A,North,2025-10-03,2025-10-05,2025-10-09,Delivered,2885.75,157.43,3
NOR-1052,North_A,North,2025-10-03,2025-10-07,2025-10-11,Delivered,4660.71,333.26,1
NOR-1053,North_A,North,2025-10-06,2025-10-06,2025-10-09,Delivered,2718.2,135.35,1
NOR-1054,North_A,North,2025-10-02,2025-10-03,2025-10-07,Delivered,4536.37,115.57,4
NOR-1055,North_A,North,2025-10-15,2025-10-17,2025-10-22,Delivered,2297.38,86.36,1
NOR-1056,North_A,North,2025-10-05,2025-10-06,2025-10-09,Returned,4873.82,388.72,2
NOR-1057,North_A,North,2025-10-03,2025-10-04,2025-10-08,Delivered,800.66,52.6,4
NOR-1058,North_A,North,2025-10-11,2025-10-12,2025-10-17,Delivered,2043.59,150.23,2
NOR-1059,North_A,North,2025-10-01,2025-10-01,2025-10-01,Delivered,4741.52,375.34,4
NOR-1060,North_A,North,2025-10-03,2025-10-04,2025-10-10,Delivered,3554.91,124.15,3
NOR-1061,North_A,North,2025-10-01,2025-10-02,2025-10-04,Delivered,375.89,10.2,5
NOR-1062,North_A,North,2025-10-09,2025-10-12,2025-10-19,Delivered,2061.09,100.3,1
NOR-1063,North_A,North,2025-10-11,2025-10-13,2025-10-17,Delivered,2813.89,219.93,2
NOR-1064,North_A,North,2025-10-01,2025-10-01,2025-10-01,In Transit,3514.93,151.33,1
NOR-1065,North_A,North,2025-10-13,2025-10-13,2025-10-14,Delivered,931.43,54.78,2
NOR-1066,North_A,North,2025-10-02,2025-10-02,2025-10-02,Delivered,2320.88,50.92,1
NOR-1067,North_A,North,2025-10-02,2025-10-05,2025-10-11,Delivered,4563.54,316.49,2
NOR-1068,North_A,North,2025-10-03,2025-10-06,2025-10-11,Delivered,4395.64,233.39,5
NOR-1069,North_A,North,2025-10-01,2025-10-05,2025-10-10,In Transit,837.04,46.58,1
NOR-1070,North_A,North,2025-10-18,2025-10-20,2025-10-24,Delivered,2132.62,77.64,4
NOR-1071,North_A,North,2025-10-09,2025-10-14,2025-10-21,Returned,4263.27,148.54,1
NOR-1072,North_A,North,2025-10-01,2025-10-03,2025-10-08,Delivered,3391.33,193.6,4
NOR-1073,North_A,North,2025-10-02,2025-10-03,2025-10-05,Delivered,4173.72,160.55,1
NOR-1074,North_A,North,2025-10-05,2025-10-09,2025-10-15,Delivered,756.67,16.44,5
NOR-1075,North_A,North,2025-10-05,2025-10-05,2025-10-08,Delivered,171.27,7.03,2
NOR-1076,North_A,North,2025-10-06,2025-10-06,2025-10-08,Delivered,2782.49,130.93,4
NOR-1077,North_A,North,2025-10-02,2025-10-07,2025-10-14,Delivered,2350.8,165.79,1
NOR-1078,North_A,North,2025-10-02,2025-10-04,2025-10-07,Delivered,1710.88,99.24,3
NOR-1079,North_A,North,2025-10-01,2025-10-01,2025-10-03,Delivered,4494.26,217.69,5
NOR-1080,North_A,North,2025-10-19,2025-10-19,2025-10-22,Delivered,1790.9,73.17,5
NOR-1081,North_A,North,2025-10-04,2025-10-04,2025-10-07,Delivered,730.87,29.09,3
NOR-1082,North_A,North,2025-10-01,2025-10-04,2025-10-11,Delivered,4380.54,329.65,5
NOR-1083,North_A,North,2025-10-01,2025-10-03,2025-10-07,Delivered,4627.8,158.12,4
NOR-1084,North_A,North,2025-10-03,2025-10-08,2025-10-14,Delivered,1336.94,83.96,3
NOR-1085,North_A,North,2025-10-04,2025-10-05,2025-10-06,Delivered,1288.11,46.57,5
NOR-1086,North_A,North,2025-10-02,2025-10-06,2025-10-12,Delivered,2723.14,92.57,5
NOR-1087,North_A,North,2025-10-05,2025-10-09,2025-10-16,Delivered,525.91,27.47,2
NOR-1088,North_A,North,2025-10-05,2025-10-09,2025-10-18,Delivered,1753.49,129.72,2
NOR-1089,North_A,North,2025-10-02,2025-10-02,2025-10-03,Returned,136.92,4.59,4
NOR-1090,North_A,North,2025-10-10,2025-10-12,2025-10-17,Returned,125.97,9.89,3
NOR-1091,North_A,North,2025-10-09,2025-10-11,2025-10-18,Delivered,4209.05,135.97,2
NOR-1092,North_A,North,2025-10-02,2025-10-04,2025-10-06,Delivered,662.7,37.53,5
NOR-1093,North_A,North,2025-10-04,2025-10-05,2025-10-08,Delivered,1909.23,90.22,5
NOR-1094,North_A,North,2025-10-01,2025-10-01,2025-10-04,Delivered,3825.12,213.21,3
NOR-1095,North_A,North,2025-10-03,2025-10-05,2025-10-09,Delivered,425.83,27.45,4
NOR-1096,North_A,North,2025-10-10,2025-10-12,2025-10-15,Delivered,901.91,26.93,5
NOR-1097,North_A,North,2025-10-02,2025-10-05,2025-10-10,Delivered,2982.7,181.88,3
NOR-1098,North_A,North,2025-10-05,2025-10-05,2025-10-10,Delivered,1841.28,80.08,2
NOR-1099,North_A,North,2025-10-04,2025-10-06,2025-10-11,Delivered,4705.18,271.31,2
NOR-1100,North_A,North,2025-10-01,2025-10-04,2025-10-11,Delivered,4480.07,301.58,1
NOR-1101,North_A,North,2025-10-02,2025-10-05,2025-10-08,Delivered,2892.46,190.17,3
NOR-1102,North_A,North,2025-10-08,2025-10-10,2025-10-12,Delivered,2339.3,131.56,5
NOR-1103,North_A,North,2025-10-04,2025-10-04,2025-10-05,Delivered,159.8,8.93,4
NOR-1104,North_A,North,2025-10-04,2025-10-04,2025-10-04,Delivered,4551.41,250.34,2
NOR-1105,North_A,North,2025-10-15,2025-10-17,2025-10-19,Delivered,3096.13,65.29,4
NOR-1106,North_A,North,2025-10-05,2025-10-09,2025-10-16,Delivered,437.72,10.79,1
NOR-1107,North_A,North,2025-10-13,2025-10-13,2025-10-14,In Transit,4210.6,115.71,1
NOR-1108,North_A,North,2025-10-03,2025-10-03,2025-10-03,Delivered,1958.6,126.63,2
NOR-1109,North_A,North,2025-10-09,2025-10-12,2025-10-15,Returned,1797.1,73.35,2
NOR-1110,North_A,North,2025-10-13,2025-10-14,2025-10-17,Returned,1316.31,71.95,4
NOR-1111,North_A,North,2025-10-03,2025-10-04,2025-10-08,Delivered,3198.1,66.47,5
NOR-1112,North_A,North,2025-10-04,2025-10-05,2025-10-08,Delivered,4317.1,224.94,1
NOR-1113,North_A,North,2025-10-02,2025-10-02,2025-10-02,Delivered,4018.93,164.63,5
NOR-1114,North_A,North,2025-10-05,2025-10-09,2025-10-14,Delivered,1540.82,96.83,2
NOR-1115,North_A,North,2025-10-04,2025-10-04,2025-10-04,Delivered,860.68,26.61,5
NOR-1116,North_A,North,2025-10-01,2025-10-01,2025-10-04,Delivered,2680.23,182.38,4
NOR-1117,North_A,North,2025-10-10,2025-10-11,2025-10-16,Delivered,1344.05,42.7,5
NOR-1118,North_A,North,2025-10-05,2025-10-08,2025-10-11,Delivered,2827.94,178.86,3
NOR-1119,North_A,North,2025-10-02,2025-10-05,2025-10-10,Delivered,2046.2,122.95,5
NOR-1120,North_A,North,2025-10-03,2025-10-03,2025-10-04,Delivered,3705.93,262.7,5
NOR-1121,North_A,North,2025-10-11,2025-10-15,2025-10-22,Returned,3161.33,126.93,2
