order_id,branch,region,order_date,dispatch_date,delivery_date,delivery_status,order_value,shipping_cost,items_count
NOR-1000,North_B,North,2025-10-02,2025-10-08,2025-10-17,Delivered,4894.15,317.59,4
NOR-1001,North_B,North,2025-10-01,2025-10-05,2025-10-09,Delivered,2743.83,174.72,2
NOR-1002,North_B,North,2025-10-01,2025-10-04,2025-10-10,Delivered,2578.68,181.65,5
NOR-1003,North_B,North,2025-10-03,2025-10-06,2025-10-12,Delivered,619.06,18.01,4
NOR-1004,North_B,North,2025-10-06,2025-10-06,2025-10-08,Delivered,145.72,5.07,5
NOR-1005,North_B,North,2025-10-11,2025-10-11,2025-10-11,Delivered,3322.05,128.42,5
NOR-1006,North_B,North,2025-10-07,2025-10-07,2025-10-09,Delivered,3940.58,209.85,2
NOR-1007,North_B,North,2025-10-08,2025-10-08,2025-10-08,Delivered,1597.46,115.97,5
NOR-1008,North_B,North,2025-10-01,2025-10-06,2025-10-11,Delivered,1164.32,32.91,5
NOR-1009,North_B,North,2025-10-01,2025-10-02,2025-10-04,Delivered,2071.4,150.08,5
NOR-1010,North_B,North,2025-10-06,2025-10-08,2025-10-10,Delivered,2847.23,160.04,2
NOR-1011,North_B,North,2025-10-05,2025-10-06,2025-10-09,Delivered,3218.8,93.15,5
NOR-1012,North_B,North,2025-10-07,2025-10-09,2025-10-15,Delivered,699.65,44.87,1
NOR-1013,North_B,North,2025-10-01,2025-10-03,2025-10-05,Delivered,4991.9,379.32,5
NOR-1014,North_B,North,2025-10-01,2025-10-02,2025-10-09,Delivered,3460.97,275.03,4
NOR-1015,North_B,North,2025-10-03,2025-10-08,2025-10-18,Delivered,1874.95,75.13,5
NOR-1016,North_B,North,2025-10-07,2025-10-12,2025-10-22,Delivered,4655.12,311.68,3
NOR-1017,North_B,North,2025-10-02,2025-10-06,2025-10-11,Delivered,1011.9,68.97,2
NOR-1018,North_B,North,2025-10-14,2025-10-17,2025-10-24,Delivered,4529.18,337.71,1
NOR-1019,North_B,North,2025-10-01,2025-10-02,2025-10-03,Returned,2413.1,50.2,4
NOR-1020,North_B,North,2025-10-01,2025-10-04,2025-10-07,In Transit,1918.91,87.76,1
NOR-1021,North_B,North,2025-10-08,2025-10-09,2025-10-10,Delivered,407.0,30.28,1
NOR-1022,North_B,North,2025-10-03,2025-10-07,2025-10-11,Delivered,1260.24,80.59,3
NOR-1023,North_B,North,2025-10-17,2025-10-20,2025-10-25,Delivered,2152.09,76.63,1
NOR-1024,North_B,North,2025-10-04,2025-10-04,2025-10-07,Delivered,1612.62,123.88,4
NOR-1025,North_B,North,2025-10-03,2025-10-03,2025-10-03,Delivered,2849.99,146.5,5
NOR-1026,North_B,North,2025-10-02,2025-10-06,2025-10-10,Delivered,2789.31,158.36,2
NOR-1027,North_B,North,2025-10-04,2025-10-06,2025-10-11,Delivered,2117.65,125.07,4
NOR-1028,North_B,North,2025-10-01,2025-10-05,2025-10-11,Delivered,354.59,23.82,5
NOR-1029,North_B,North,2025-10-01,2025-10-05,2025-10-09,Delivered,1103.92,80.22,4
NOR-1030,North_B,North,2025-10-11,2025-10-12,2025-10-13,In Transit,3882.86,83.99,1
NOR-1031,North_B,North,2025-10-01,2025-10-01,2025-10-01,Delivered,4011.89,169.77,1
NOR-1032,North_B,North,2025-10-03,2025-10-04,2025-10-05,Delivered,1014.94,26.03,4
NOR-1033,North_B,North,2025-10-08,2025-10-13,2025-10-22,Delivered,2040.26,152.83,2
NOR-1034,North_B,North,2025-10-01,2025-10-04,2025-10-10,Delivered,4300.18,319.8,2
NOR-1035,North_B,North,2025-10-01,2025-10-08,2025-10-17,Delivered,1882.1,120.38,3
NOR-1036,North_B,North,2025-10-02,2025-10-02,2025-10-06,In Transit,2478.26,67.77,5
NOR-1037,North_B,North,2025-10-02,2025-10-02,2025-10-04,Delivered,555.85,12.1,4
NOR-1038,North_B,North,2025-10-12,2025-10-14,2025-10-17,Delivered,4305.07,297.67,2
NOR-1039,North_B,North,2025-10-01,2025-10-03,2025-10-08,Delivered,1346.18,93.1,4
NOR-1040,North_B,North,2025-10-03,2025-10-06,2025-10-09,Delivered,593.12,20.4,4
NOR-1041,North_B,North,2025-10-12,2025-10-12,2025-10-15,Delivered,2233.98,122.05,1
NOR-1042,North_B,North,2025-10-10,2025-10-12,2025-10-15,Delivered,718.7,43.53,2
NOR-1043,North_B,North,2025-10-02,2025-10-04,2025-10-06,In Transit,456.09,11.23,3
NOR-1044,North_B,North,2025-10-06,2025-10-06,2025-10-08,Delivered,262.63,10.04,4
NOR-1045,North_B,North,2025-10-14,2025-10-16,2025-10-20,Delivered,3358.43,119.62,1
NOR-1046,North_B,North,2025-10-11,2025-10-11,2025-10-11,Delivered,1969.9,54.63,3
NOR-1047,North_B,North,2025-10-19,2025-10-20,2025-10-21,Delivered,3725.53,279.73,1
NOR-1048,North_B,North,2025-10-02,2025-10-04,2025-10-08,Delivered,188.23,14.64,1
NOR-1049,North_B,North,2025-10-02,2025-10-02,2025-10-05,Delivered,651.64,40.55,5
NOR-1050,North_B,North,2025-10-01,2025-10-01,2025-10-04,Delivered,463.78,15.57,1
NOR-1051,North_B,North,2025-10-01,2025-10-04,2025-10-12,Delivered,1008.12,24.94,5
NOR-1052,North_B,North,2025-10-10,2025-10-10,2025-10-10,Delivered,3966.89,215.8,5
NOR-1053,North_B,North,2025-10-01,2025-10-03,2025-10-09,Delivered,559.9,41.76,4
NOR-1054,North_B,North,2025-10-11,2025-10-11,2025-10-12,Delivered,907.64,27.44,5
NOR-1055,North_B,North,2025-10-05,2025-10-10,2025-10-18,Delivered,2610.58,68.54,4
NOR-1056,North_B,North,2025-10-04,2025-10-06,2025-10-10,Delivered,3743.61,188.59,1
NOR-1057,North_B,North,2025-10-01,2025-10-03,2025-10-06,Returned,1270.4,61.21,1
NOR-1058,North_B,North,2025-10-03,2025-10-03,2025-10-04,Delivered,1475.35,47.83,5
NOR-1059,North_B,North,2025-10-04,2025-10-06,2025-10-10,Delivered,2367.97,109.67,2
NOR-1060,North_B,North,2025-10-02,2025-10-03,2025-10-07,Delivered,3123.63,83.81,3
NOR-1061,North_B,North,2025-10-11,2025-10-12,2025-10-15,Delivered,319.78,15.04,5
NOR-1062,North_B,North,2025-10-03,2025-10-03,2025-10-03,Returned,3598.76,203.24,1
