order_id,branch,region,order_date,dispatch_date,delivery_date,delivery_status,order_value,shipping_cost,items_count
SOU-1000,South_A,South,2025-10-17,2025-10-20,2025-10-25,Delivered,3096.17,187.97,4
SOU-1001,South_A,South,2025-10-10,2025-10-10,2025-10-13,Delivered,4820.47,99.38,1
SOU-1002,South_A,South,2025-10-07,2025-10-07,2025-10-07,Delivered,2269.71,80.94,2
SOU-1003,South_A,South,2025-10-24,2025-10-26,2025-10-30,Returned,2318.79,73.99,3
SOU-1004,South_A,South,2025-10-01,2025-10-03,2025-10-05,Delivered,4843.57,226.69,2
SOU-1005,South_A,South,2025-10-02,2025-10-04,2025-10-09,Delivered,968.24,36.46,3
SOU-1006,South_A,South,2025-10-08,2025-10-11,2025-10-14,Delivered,2071.79,151.4,4
SOU-1007,South_A,South,2025-10-08,2025-10-08,2025-10-08,Delivered,2256.28,143.91,3
SOU-1008,South_A,South,2025-10-03,2025-10-07,2025-10-12,Delivered,3701.14,192.04,5
SOU-1009,South_A,South,2025-10-04,2025-10-07,2025-10-10,Delivered,905.59,24.45,5
SOU-1010,South_A,South,2025-10-03,2025-10-05,2025-10-08,Delivered,4377.8,224.97,3
SOU-1011,South_A,South,2025-10-03,2025-10-06,2025-10-11,Delivered,1344.3,89.8,2
SOU-1012,South_A,South,2025-10-05,2025-10-05,2025-10-06,In Transit,1152.01,27.69,2
SOU-1013,South_A,South,2025-10-07,2025-10-09,2025-10-12,Delivered,606.0,18.39,3
SOU-1014,South_A,South,2025-10-07,2025-10-07,2025-10-09,Delivered,3988.5,87.37,2
SOU-1015,South_A,South,2025-10-03,2025-10-04,2025-10-06,Delivered,3490.86,165.73,5
SOU-1016,South_A,South,2025-10-05,2025-10-07,2025-10-09,Delivered,4135.41,286.34,3
SOU-1017,South_A,South,2025-10-03,2025-10-07,2025-10-11,Delivered,1124.39,28.2,1
SOU-1018,South_A,South,2025-10-03,2025-10-05,2025-10-10,Delivered,784.03,42.8,5
SOU-1019,South_A,South,2025-10-03,2025-10-03,2025-10-04,Returned,681.35,51.8,1
SOU-1020,South_A,South,2025-10-03,2025-10-06,2025-10-11,Delivered,1323.88,78.44,2
SOU-1021,South_A,South,2025-10-18,2025-10-23,2025-10-30,Delivered,2146.57,57.92,3
SOU-1022,South_A,South,2025-10-08,2025-10-10,2025-10-13,Delivered,1234.25,75.14,2
SOU-1023,South_A,South,2025-10-09,2025-10-11,2025-10-17,Delivered,1351.15,35.61,4
SOU-1024,South_A,South,2025-10-03,2025-10-07,2025-10-15,Delivered,2036.77,62.95,3
SOU-1025,South_A,South,2025-10-01,2025-10-03,2025-10-05,Delivered,569.07,22.23,3
SOU-1026,South_A,South,2025-10-02,2025-10-05,2025-10-09,Delivered,2376.6,101.66,5
SOU-1027,South_A,South,2025-10-05,2025-10-09,2025-10-13,Delivered,3419.45,156.29,4
SOU-1028,South_A,South,2025-10-03,2025-10-05,2025-10-10,Delivered,4721.56,161.61,4
SOU-1029,South_A,South,2025-10-03,2025-10-04,2025-10-07,Delivered,2471.7,125.68,5
SOU-1030,South_A,South,2025-10-12,2025-10-14,2025-10-17,Delivered,4159.59,261.1,4
SOU-1031,South_A,South,2025-10-02,2025-10-02,2025-10-02,Delivered,4120.09,191.31,1
SOU-1032,South_A,South,2025-10-03,2025-10-03,2025-10-06,In Transit,226.27,12.72,1
SOU-1033,South_A,South,2025-10-03,2025-10-03,2025-10-03,Delivered,4446.88,200.96,4
SOU-1034,South_A,South,2025-10-04,2025-10-04,2025-10-05,Delivered,2148.91,140.62,2
SOU-1035,South_A,South,2025-10-01,2025-10-01,2025-10-02,Delivered,3342.42,187.67,2
SOU-1036,South_A,South,2025-10-01,2025-10-04,2025-10-07,Returned,1592.55,57.13,2
SOU-1037,South_A,South,2025-10-14,2025-10-14,2025-10-15,Delivered,2912.35,126.9,5
SOU-1038,South_A,South,2025-10-07,2025-10-07,2025-10-07,Delivered,1884.15,101.69,2
SOU-1039,South_A,South,2025-10-01,2025-10-07,2025-10-17,Delivered,746.63,37.92,4
SOU-1040,South_A,South,2025-10-03,2025-10-05,2025-10-09,Delivered,1207.79,83.38,5
SOU-1041,South_A,South,2025-10-01,2025-10-01,2025-10-04,Delivered,1726.79,103.21,4
SOU-1042,South_A,South,2025-10-04,2025-10-04,2025-10-04,Delivered,2696.71,80.04,2
SOU-1043,South_A,South,2025-10-02,2025-10-05,2025-10-09,Delivered,3696.14,150.78,2
SOU-1044,South_A,South,2025-10-03,2025-10-04,2025-10-07,Delivered,2020.36,124.92,5
SOU-1045,South_A,South,2025-10-02,2025-10-02,2025-10-02,Delivered,644.57,37.96,4
SOU-1046,South_A,South,2025-10-06,2025-10-09,2025-10-15,Delivered,2045.26,60.09,3
SOU-1047,South_A,South,2025-10-03,2025-10-03,2025-10-06,Delivered,4963.65,145.79,4
SOU-1048,South_A,South,2025-10-19,2025-10-22,2025-10-29,Delivered,4343.9,162.32,5
SOU-1049,South_A,South,2025-10-08,2025-10-08,2025-10-08,Delivered,3360.29,168.16,5
SOU-1050,South_A,South,2025-10-03,2025-10-03,2025-10-04,Delivered,3055.64,157.11,4
SOU-1051,South_A,South,2025-10-01,2025-10-01,2025-10-01,Delivered,1339.83,96.38,4
SOU-1052,South_A,South,2025-10-01,2025-10-01,2025-10-02,In Transit,761.89,22.18,3
SOU-1053,South_A,South,2025-10-05,2025-10-10,2025-10-18,Delivered,2202.41,80.51,1
SOU-1054,South_A,South,2025-10-01,2025-10-04,2025-10-08,Delivered,3339.59,197.48,5
SOU-1055,South_A,South,2025-10-06,2025-10-07,2025-10-09,Delivered,655.86,52.35,2
SOU-1056,South_A,South,2025-10-05,2025-10-05,2025-10-06,Delivered,3151.39,215.57,4
SOU-1057,South_A,South,2025-10-04,2025-10-07,2025-10-14,Delivered,2513.74,145.81,1
SOU-1058,South_A,South,2025-10-17,2025-10-22,2025-11-01,Delivered,440.03,11.17,2
SOU-1059,South_A,South,2025-10-01,2025-10-03,2025-10-07,Delivered,4272.81,339.63,5
SOU-1060,South_A,South,2025-10-12,2025-10-15,2025-10-22,Delivered,4735.03,178.74,5
SOU-1061,South_A,South,2025-10-02,2025-10-05,2025-10-08,Delivered,3007.96,63.09,4
SOU-1062,South_A,South,2025-10-02,2025-10-05,2025-10-13,Delivered,759.42,19.49,1
SOU-1063,South_A,South,2025-10-04,2025-10-04,2025-10-05,Delivered,3260.02,121.58,3
SOU-1064,South_A,South,2025-10-01,2025-10-01,2025-10-05,Delivered,163.2,8.55,5
SOU-1065,South_A,South,2025-10-16,2025-10-19,2025-10-29,Delivered,2789.48,119.39,5
SOU-1066,South_A,South,2025-10-23,2025-10-23,2025-10-23,Delivered,776.28,19.3,3
SOU-1067,South_A,South,2025-10-04,2025-10-08,2025-10-14,Delivered,1598.15,70.58,5
SOU-1068,South_A,South,2025-10-10,2025-10-15,2025-10-23,Delivered,3718.68,223.11,4
SOU-1069,South_A,South,2025-10-06,2025-10-10,2025-10-17,Delivered,2549.8,162.72,5
SOU-1070,South_A,South,2025-10-08,2025-10-12,2025-10-19,Delivered,2511.07,170.23,3
SOU-1071,South_A,South,2025-10-02,2025-10-03,2025-10-04,Delivered,2752.73,69.26,3
SOU-1072,South_A,South,2025-10-09,2025-10-10,2025-10-13,Delivered,335.65,12.67,3
SOU-1073,South_A,South,2025-10-01,2025-10-06,2025-10-12,Delivered,1608.08,91.37,1
SOU-1074,South_A,South,2025-10-19,2025-10-19,2025-10-21,Delivered,465.73,34.68,4
SOU-1075,South_A,South,2025-10-02,2025-10-05,2025-10-13,Delivered,4565.56,97.05,1
SOU-1076,South_A,South,2025-10-19,2025-10-19,2025-10-22,In Transit,3177.79,241.0,2
SOU-1077,South_A,South,2025-10-03,2025-10-05,2025-10-07,In Transit,1951.41,46.29,3
SOU-1078,South_A,South,2025-10-01,2025-10-01,2025-10-02,Delivered,4711.14,340.89,1
SOU-1079,South_A,South,2025-10-03,2025-10-08,2025-10-13,Delivered,3276.34,77.61,1
SOU-1080,South_A,South,2025-10-15,2025-10-17,2025-10-21,Delivered,2439.34,136.87,5
SOU-1081,South_A,South,2025-10-01,2025-10-02,2025-10-06,Delivered,3410.54,76.0,4
SOU-1082,South_A,South,2025-10-02,2025-10-04,2025-10-06,Delivered,4372.37,238.81,5
SOU-1083,South_A,South,2025-10-02,2025-10-04,2025-10-06,Delivered,3004.58,86.84,4
SOU-1084,South_A,South,2025-10-02,2025-10-03,2025-10-05,Delivered,3018.83,74.98,2
SOU-1085,South_A,South,2025-10-04,2025-10-04,2025-10-06,Delivered,3977.91,298.13,4
SOU-1086,South_A,South,2025-10-08,2025-10-10,2025-10-13,Delivered,4388.15,343.4,5
SOU-1087,South_A,South,2025-10-03,2025-10-07,2025-10-13,Delivered,2171.01,173.11,1
SOU-1088,South_A,South,2025-10-12,2025-10-14,2025-10-17,Delivered,1775.05,128.57,4
SOU-1089,South_A,South,2025-10-09,2025-10-09,2025-10-10,Delivered,3255.39,139.52,2
SOU-1090,South_A,South,2025-10-05,2025-10-06,2025-10-10,Delivered,2268.63,51.96,2
SOU-1091,South_A,South,2025-10-03,2025-10-03,2025-10-03,Delivered,433.73,14.35,2
SOU-1092,South_A,South,2025-10-08,2025-10-08,2025-10-13,In Transit,2751.46,154.92,4
SOU-1093,South_A,South,2025-10-01,2025-10-02,2025-10-04,Delivered,4141.78,278.59,5
SOU-1094,South_A,South,2025-10-04,2025-10-07,2025-10-10,Delivered,2264.99,67.5,3
SOU-1095,South_A,South,2025-10-07,2025-10-10,2025-10-13,Delivered,4288.55,330.84,3
SOU-1096,South_A,South,2025-10-03,2025-10-04,2025-10-07,Delivered,404.0,9.8,5
SOU-1097,South_A,South,2025-10-27,2025-10-27,2025-10-27,Delivered,4595.96,306.41,2
SOU-1098,South_A,South,2025-10-02,2025-10-08,2025-10-17,Delivered,4735.26,333.98,1
SOU-1099,South_A,South,2025-10-01,2025-10-02,2025-10-04,Delivered,2640.95,91.78,1
SOU-1100,South_A,South,2025-10-01,2025-10-05,2025-10-12,Delivered,4647.45,118.36,4
SOU-1101,South_A,South,2025-10-01,2025-10-01,2025-10-06,Delivered,2135.67,45.79,1
SOU-1102,South_A,South,2025-10-01,2025-10-03,2025-10-07,In Transit,662.29,32.73,5
SOU-1103,South_A,South,2025-10-01,2025-10-03,2025-10-05,Delivered,2779.95,134.84,4
SOU-1104,South_A,South,2025-10-01,2025-10-01,2025-10-01,Delivered,4963.32,170.94,5
SOU-1105,South_A,South,2025-10-02,2025-10-02,2025-10-02,In Transit,986.37,67.02,2
SOU-1106,South_A,South,2025-10-09,2025-10-12,2025-10-15,Delivered,2657.23,63.98,1
SOU-1107,South_A,South,2025-10-16,2025-10-18,2025-10-23,Delivered,3411.23,194.84,4
SOU-1108,South_A,South,2025-10-29,2025-10-31,2025-11-02,Delivered,751.75,22.19,5
SOU-1109,South_A,South,2025-10-03,2025-10-04,2025-10-05,Delivered,1583.87,101.13,3
SOU-1110,South_A,South,2025-10-03,2025-10-07,2025-10-11,Delivered,891.14,43.05,3
SOU-1111,South_A,South,2025-10-05,2025-10-08,2025-10-11,Delivered,1838.68,122.85,4
SOU-1112,South_A,South,2025-10-07,2025-10-11,2025-10-15,Delivered,1059.2,53.8,5
SOU-1113,South_A,South,2025-10-04,2025-10-05,2025-10-06,Delivered,3036.57,154.33,1
SOU-1114,South_A,South,2025-10-02,2025-10-05,2025-10-09,Delivered,547.41,21.42,2
SOU-1115,South_A,South,2025-10-15,2025-10-16,2025-10-17,Delivered,3165.84,167.89,5
SOU-1116,South_A,South,2025-10-01,2025-10-04,2025-10-07,Delivered,2523.15,68.89,2
SOU-1117,South_A,South,2025-10-12,2025-10-16,2025-10-22,Delivered,3774.31,282.25,1
SOU-1118,South_A,South,2025-10-02,2025-10-03,2025-10-05,Delivered,1985.19,91.64,5
SOU-1119,South_A,South,2025-10-05,2025-10-10,2025-10-15,Delivered,530.16,16.07,1
SOU-1120,South_A,South,2025-10-02,2025-10-02,2025-10-02,Delivered,167.92,9.9,1
SOU-1121,South_A,South,2025-10-02,2025-10-02,2025-10-02,Delivered,2831.28,176.73,5
SOU-1122,South_A,South,2025-10-05,2025-10-09,2025-10-17,Returned,4985.05,315.1,1
SOU-1123,South_A,South,2025-10-11,2025-10-12,2025-10-15,Delivered,776.81,55.58,5
SOU-1124,South_A,South,2025-10-06,2025-10-09,2025-10-12,Delivered,1631.73,72.84,5
SOU-1125,South_A,South,2025-10-14,2025-10-18,2025-10-22,Delivered,3489.11,271.94,4
SOU-1126,South_A,South,2025-10-01,2025-10-06,2025-10-11,Delivered,1898.11,54.73,3
SOU-1127,South_A,South,2025-10-06,2025-10-06,2025-10-09,Delivered,1418.89,45.29,1
SOU-1128,South_A,South,2025-10-03,2025-10-05,2025-10-09,Delivered,995.79,77.05,3
SOU-1129,South_A,South,2025-10-08,2025-10-09,2025-10-12,Delivered,503.79,28.21,3
SOU-1130,South_A,South,2025-10-11,2025-10-14,2025-10-18,Delivered,3846.79,110.79,2
SOU-1131,South_A,South,2025-10-15,2025-10-15,2025-10-19,Delivered,3264.05,165.27,3
SOU-1132,South_A,South,2025-10-02,2025-10-03,2025-10-05,Delivered,3445.0,117.6,3
SOU-1133,South_A,South,2025-10-09,2025-10-10,2025-10-13,Delivered,745.27,46.43,4
SOU-1134,South_A,South,2025-10-05,2025-10-05,2025-10-09,Delivered,4801.41,158.75,4
SOU-1135,South_A,South,2025-10-02,2025-10-05,2025-10-11,Delivered,2068.79,113.1,3
SOU-1136,South_A,South,2025-10-05,2025-10-09,2025-10-14,Delivered,3576.01,94.14,4
SOU-1137,South_A,South,2025-10-04,2025-10-06,2025-10-10,Delivered,1590.79,45.11,2
SOU-1138,South_A,South,2025-10-03,2025-10-05,2025-10-09,Delivered,1425.74,49.8,5
SOU-1139,South_A,South,2025-10-02,2025-10-02,2025-10-06,Delivered,152.5,8.03,1
SOU-1140,South_A,South,2025-10-01,2025-10-03,2025-10-05,Delivered,920.55,43.96,5
SOU-1141,South_A,South,2025-10-03,2025-10-04,2025-10-05,Delivered,2311.21,166.75,5
SOU-1142,South_A,South,2025-10-04,2025-10-08,2025-10-13,Delivered,4280.89,258.62,3
SOU-1143,South_A,South,2025-10-04,2025-10-07,2025-10-10,Delivered,1672.19,93.25,1
SOU-1144,South_A,South,2025-10-03,2025-10-04,2025-10-08,Delivered,1100.79,49.67,1
SOU-1145,South_A,South,2025-10-01,2025-10-04,2025-10-14,Delivered,4128.92,269.09,3
