order_id,branch,region,order_date,dispatch_date,delivery_date,delivery_status,order_value,shipping_cost,items_count
WES-1000,West_A,West,2025-10-03,2025-10-04,2025-10-06,Delivered,4655.28,127.91,4
WES-1001,West_A,West,2025-10-02,2025-10-03,2025-10-04,Delivered,4645.95,334.8,5
WES-1002,West_A,West,2025-10-02,2025-10-02,2025-10-05,Delivered,3179.19,147.26,1
WES-1003,West_A,West,2025-10-09,2025-10-14,2025-10-22,Delivered,2690.67,59.36,5
WES-1004,West_A,West,2025-10-11,2025-10-11,2025-10-12,Delivered,2216.85,177.22,1
WES-1005,West_A,West,2025-10-01,2025-10-02,2025-10-10,Delivered,3367.98,121.34,5
WES-1006,West_A,West,2025-10-06,2025-10-08,2025-10-12,Delivered,468.87,12.54,3
WES-1007,West_A,West,2025-10-02,2025-10-05,2025-10-09,Delivered,1994.81,138.18,5
WES-1008,West_A,West,2025-10-10,2025-10-10,2025-10-12,Delivered,1447.98,84.48,3
WES-1009,West_A,West,2025-10-03,2025-10-07,2025-10-12,Delivered,3305.68,264.1,3
WES-1010,West_A,West,2025-10-07,2025-10-09,2025-10-15,Delivered,728.91,43.01,1
WES-1011,West_A,West,2025-10-13,2025-10-13,2025-10-14,Delivered,4149.31,257.63,2
WES-1012,West_A,West,2025-10-01,2025-10-01,2025-10-01,Returned,3241.32,125.44,5
WES-1013,West_A,West,2025-10-01,2025-10-02,2025-10-05,Delivered,1840.89,112.2,5
WES-1014,West_A,West,2025-10-07,2025-10-08,2025-10-10,Delivered,3367.99,88.08,5
WES-1015,West_A,West,2025-10-01,2025-10-02,2025-10-05,Delivered,3710.45,185.75,3
WES-1016,West_A,West,2025-10-01,2025-10-02,2025-10-06,Delivered,3391.14,135.76,3
WES-1017,West_A,West,2025-10-05,2025-10-11,2025-10-19,Delivered,2682.55,147.41,2
WES-1018,West_A,West,2025-10-07,2025-10-10,2025-10-15,Delivered,2065.63,158.78,1
WES-1019,West_A,West,2025-10-10,2025-10-14,2025-10-20,Delivered,1813.11,101.14,5
WES-1020,West_A,West,2025-10-01,2025-10-04,2025-10-11,Delivered,3734.25,225.97,2
WES-1021,West_A,West,2025-10-03,2025-10-06,2025-10-11,In Transit,3178.9,98.69,5
WES-1022,West_A,West,2025-10-09,2025-10-14,2025-10-23,Delivered,3546.06,248.46,4
WES-1023,West_A,West,2025-10-06,2025-10-09,2025-10-13,Delivered,193.92,8.9,5
WES-1024,West_A,West,2025-10-01,2025-10-01,2025-10-03,Delivered,961.86,32.82,4
WES-1025,West_A,West,2025-10-01,2025-10-02,2025-10-04,Returned,4882.82,162.78,3
WES-1026,West_A,West,2025-10-06,2025-10-06,2025-10-07,Delivered,3009.05,196.46,3
WES-1027,West_A,West,2025-10-13,2025-10-14,2025-10-19,Delivered,4405.86,140.11,2
WES-1028,West_A,West,2025-10-12,2025-10-15,2025-10-19,Delivered,1577.78,49.38,4
WES-1029,West_A,West,2025-10-01,2025-10-02,2025-10-03,Delivered,792.78,22.05,3
WES-1030,West_A,West,2025-10-07,2025-10-09,2025-10-15,Delivered,1260.56,37.69,1
WES-1031,West_A,West,2025-10-03,2025-10-03,2025-10-03,Delivered,186.58,4.88,2
WES-1032,West_A,West,2025-10-04,2025-10-06,2025-10-11,Delivered,4958.96,147.86,4
WES-1033,West_A,West,2025-10-01,2025-10-06,2025-10-12,Delivered,745.85,54.61,2
WES-1034,West_A,West,2025-10-01,2025-10-03,2025-10-07,Delivered,3190.11,146.13,4
WES-1035,West_A,West,2025-10-02,2025-10-04,2025-10-09,Delivered,429.69,15.5,1
WES-1036,West_A,West,2025-10-01,2025-10-02,2025-10-03,Delivered,3977.68,241.98,4
WES-1037,West_A,West,2025-10-05,2025-10-07,2025-10-10,Delivered,3296.18,146.06,2
WES-1038,West_A,West,2025-10-01,2025-10-04,2025-10-07,In Transit,1136.01,40.79,1
WES-1039,West_A,West,2025-10-17,2025-10-19,2025-10-24,Delivered,765.15,60.18,1
WES-1040,West_A,West,2025-10-01,2025-10-03,2025-10-10,Delivered,3930.47,126.66,5
WES-1041,West_A,West,2025-10-01,2025-10-01,2025-10-06,Delivered,4932.27,341.56,1
WES-1042,West_A,West,2025-10-01,2025-10-03,2025-10-05,Delivered,3953.88,136.89,5
WES-1043,West_A,West,2025-10-10,2025-10-15,2025-10-21,Delivered,952.42,39.69,5
WES-1044,West_A,West,2025-10-04,2025-10-06,2025-10-08,Delivered,268.58,15.6,5
WES-1045,West_A,West,2025-10-03,2025-10-06,2025-10-10,Delivered,3603.27,125.85,2
WES-1046,West_A,West,2025-10-03,2025-10-03,2025-10-03,Delivered,1668.08,84.01,1
WES-1047,West_A,West,2025-10-16,2025-10-19,2025-10-22,Delivered,1782.55,37.69,3
WES-1048,West_A,West,2025-10-01,2025-10-03,2025-10-06,Delivered,2638.28,53.95,4
WES-1049,West_A,West,2025-10-07,2025-10-12,2025-10-18,Delivered,4084.4,225.89,4
WES-1050,West_A,West,2025-10-03,2025-10-03,2025-10-04,Delivered,3028.4,194.83,4
WES-1051,West_A,West,2025-10-06,2025-10-06,2025-10-06,Delivered,3171.33,131.69,1
WES-1052,West_A,West,2025-10-04,2025-10-11,2025-10-18,Returned,4024.01,189.4,2
WES-1053,West_A,West,2025-10-05,2025-10-05,2025-10-06,Delivered,1304.51,97.7,2
WES-1054,West_A,West,2025-10-04,2025-10-07,2025-10-16,Delivered,1941.52,50.38,5
WES-1055,West_A,West,2025-10-04,2025-10-04,2025-10-04,Delivered,2394.67,170.47,2
WES-1056,West_A,West,2025-10-07,2025-10-10,2025-10-13,Delivered,4924.42,295.39,1
WES-1057,West_A,West,2025-10-07,2025-10-07,2025-10-07,In Transit,4825.99,180.33,4
WES-1058,West_A,West,2025-10-08,2025-10-12,2025-10-21,Delivered,485.27,19.34,5
WES-1059,West_A,West,2025-10-03,2025-10-05,2025-10-07,In Transit,4022.63,284.55,4
WES-1060,West_A,West,2025-10-02,2025-10-03,2025-10-07,Delivered,3541.79,134.47,2
WES-1061,West_A,West,2025-10-06,2025-10-07,2025-10-10,Delivered,3971.41,226.28,1
WES-1062,West_A,West,2025-10-01,2025-10-04,2025-10-09,Delivered,756.72,20.39,3
WES-1063,West_A,West,2025-10-15,2025-10-19,2025-10-24,Delivered,4497.91,334.94,2
WES-1064,West_A,West,2025-10-14,2025-10-16,2025-10-21,Delivered,4045.08,287.23,1
WES-1065,West_A,West,2025-10-15,2025-10-17,2025-10-19,Delivered,4828.15,175.81,5
WES-1066,West_A,West,2025-10-21,2025-10-23,2025-11-02,Delivered,3536.68,73.78,2
WES-1067,West_A,West,2025-10-06,2025-10-06,2025-10-12,Delivered,453.84,27.71,2
WES-1068,West_A,West,2025-10-08,2025-10-08,2025-10-08,Delivered,2728.98,195.39,3
WES-1069,West_A,West,2025-10-05,2025-10-05,2025-10-07,Delivered,1340.67,91.46,3
WES-1070,West_A,West,2025-10-05,2025-10-08,2025-10-13,Delivered,3379.4,232.84,4
WES-1071,West_A,West,2025-10-03,2025-10-06,2025-10-10,Delivered,3627.98,94.58,5
WES-1072,West_A,West,2025-10-17,2025-10-19,2025-10-24,Delivered,1443.4,56.59,2
WES-1073,West_A,West,2025-10-11,2025-10-11,2025-10-13,Delivered,888.22,55.09,5
WES-1074,West_A,West,2025-10-01,2025-10-05,2025-10-11,Returned,2616.24,201.49,5
WES-1075,West_A,West,2025-10-03,2025-10-04,2025-10-09,Delivered,2502.53,177.2,2
WES-1076,West_A,West,2025-10-05,2025-10-07,2025-10-11,Returned,4550.9,256.1,2
WES-1077,West_A,West,2025-10-03,2025-10-04,2025-10-06,Returned,1594.99,48.06,5
WES-1078,West_A,West,2025-10-03,2025-10-06,2025-10-09,Delivered,1522.77,37.95,3
WES-1079,West_A,West,2025-10-03,2025-10-04,2025-10-07,Delivered,1292.99,61.37,4
WES-1080,West_A,West,2025-10-07,2025-10-09,2025-10-11,Delivered,2497.47,92.82,1
WES-1081,West_A,West,2025-10-15,2025-10-17,2025-10-22,Delivered,4109.67,250.69,2
WES-1082,West_A,West,2025-10-03,2025-10-03,2025-10-03,Delivered,2644.11,90.06,2
WES-1083,West_A,West,2025-10-02,2025-10-05,2025-10-09,Delivered,1421.74,88.35,4
WES-1084,West_A,West,2025-10-04,2025-10-04,2025-10-06,Delivered,1978.6,138.96,1
WES-1085,West_A,West,2025-10-08,2025-10-08,2025-10-10,Delivered,1494.91,63.62,5
WES-1086,West_A,West,2025-10-04,2025-10-05,2025-10-06,Returned,3223.27,219.54,3
WES-1087,West_A,West,2025-10-04,2025-10-06,2025-10-09,Delivered,234.61,10.37,1
WES-1088,West_A,West,2025-10-15,2025-10-19,2025-10-29,Delivered,408.25,12.75,1
WES-1089,West_A,West,2025-10-07,2025-10-07,2025-10-09,Delivered,858.45,32.68,2
WES-1090,West_A,West,2025-10-07,2025-10-07,2025-10-08,Delivered,3282.76,125.26,3
WES-1091,West_A,West,2025-10-02,2025-10-02,2025-10-03,Delivered,149.05,10.87,4
WES-1092,West_A,West,2025-10-02,2025-10-05,2025-10-08,Delivered,670.03,52.4,4
WES-1093,West_A,West,2025-10-02,2025-10-03,2025-10-05,Delivered,594.61,18.99,3
WES-1094,West_A,West,2025-10-06,2025-10-08,2025-10-13,Delivered,3859.67,291.79,3
WES-1095,West_A,West,2025-10-03,2025-10-03,2025-10-04,Delivered,704.26,31.03,3
WES-1096,West_A,West,2025-10-14,2025-10-15,2025-10-16,Delivered,2872.14,60.08,5
WES-1097,West_A,West,2025-10-09,2025-10-09,2025-10-12,Delivered,618.44,35.68,2
WES-1098,West_A,West,2025-10-16,2025-10-17,2025-10-18,Delivered,2517.08,50.94,4
WES-1099,West_A,West,2025-10-01,2025-10-05,2025-10-10,Delivered,3288.55,236.81,5
