order_id,branch,region,order_date,dispatch_date,delivery_date,delivery_status,order_value,shipping_cost,items_count,source_file,processing_time_days,delivery_time_days,total_fulfillment_days,on_time,late_flag,returned_flag,cost_impact
EAS-1000,East_A,East,2025-10-15,2025-10-20,2025-10-25,Delivered,2611.62,94.19,1,East_A_orders.csv,5,5,10,False,True,False,52.2324
EAS-1001,East_A,East,2025-10-05,2025-10-09,2025-10-16,Delivered,3264.22,67.93,5,East_A_orders.csv,4,7,11,False,True,False,65.28439999999999
EAS-1002,East_A,East,2025-10-01,2025-10-03,2025-10-08,Delivered,2748.99,195.11,1,East_A_orders.csv,2,5,7,False,True,False,54.9798
EAS-1003,East_A,East,2025-10-07,2025-10-09,2025-10-12,Delivered,617.93,38.09,2,East_A_orders.csv,2,3,5,True,False,False,0.0
EAS-1004,East_A,East,2025-10-06,2025-10-08,2025-10-10,Delivered,485.62,25.08,4,East_A_orders.csv,2,2,4,True,False,False,0.0
EAS-1005,East_A,East,2025-10-02,2025-10-06,2025-10-14,Delivered,3911.93,275.71,2,East_A_orders.csv,4,8,12,False,True,False,78.2386
EAS-1006,East_A,East,2025-10-06,2025-10-06,2025-10-07,In Transit,1502.67,68.26,5,East_A_orders.csv,0,1,1,True,False,False,0.0
EAS-1007,East_A,East,2025-10-02,2025-10-06,2025-10-16,Delivered,4081.8,113.13,2,East_A_orders.csv,4,10,14,False,True,False,81.63600000000001
EAS-1008,East_A,East,2025-10-06,2025-10-09,2025-10-17,Delivered,1881.7,62.11,4,East_A_orders.csv,3,8,11,False,True,False,37.634
EAS-1009,East_A,East,2025-10-04,2025-10-04,2025-10-05,Delivered,2225.51,92.02,1,East_A_orders.csv,0,1,1,True,False,False,0.0
EAS-1010,East_A,East,2025-10-09,2025-10-16,2025-10-23,Delivered,990.86,24.92,2,East_A_orders.csv,7,7,14,False,True,False,19.8172
EAS-1011,East_A,East,2025-10-05,2025-10-05,2025-10-06,Delivered,827.57,44.07,1,East_A_orders.csv,0,1,1,True,False,False,0.0
EAS-1012,East_A,East,2025-10-07,2025-10-07,2025-10-10,Delivered,2215.14,152.96,1,East_A_orders.csv,0,3,3,True,False,False,0.0
